,Date,Consumer Staples,Information Technology,Ameriprise Financial,Consumer Discretionary,Utilities,Real Estate,Health Care,Materials,Energy,Telecommunication Services,Industrials,S&P
0,1/2/2019,93.34,157.92,107.96,1539.13,88.77,350.0,114.88,29.18,14.72,65.26,84.18,2510.03
1,1/3/2019,92.86,142.19,105.1,1500.28,89.12,345.94,111.31,28.45,14.62,65.02,80.0,2447.89
2,1/4/2019,93.44,148.26,110.73,1575.39,89.79,353.79,114.66,30.39,15.41,67.49,82.68,2531.94
3,1/7/2019,94.54,147.93,111.24,1629.51,88.84,354.5,115.28,30.62,15.62,68.44,83.23,2549.69
4,1/8/2019,95.2,150.75,111.94,1656.58,90.14,361.86,116.34,31.36,15.48,67.77,82.38,2574.41
5,1/9/2019,94.89,153.31,113.1,1659.42,88.99,357.32,117.21,31.35,16.07,67.72,83.76,2584.96
6,1/10/2019,94.96,153.8,113.44,1656.22,90.76,370.68,115.94,31.57,16.35,67.96,81.37,2596.64
7,1/11/2019,94.84,152.29,113.44,1640.56,90.64,371.43,116.18,31.64,16.11,69.0,80.07,2596.26
8,1/14/2019,94.95,150.0,114.04,1617.21,90.43,376.58,114.68,31.38,15.83,67.91,79.91,2582.61
9,1/15/2019,96.25,153.07,115.18,1674.56,91.42,382.98,117.09,31.4,15.83,67.14,81.2,2610.3
10,1/16/2019,96.35,154.94,118.26,1683.78,91.79,381.11,116.8,31.49,15.54,66.69,86.36,2616.1
11,1/17/2019,96.74,155.86,118.59,1693.22,92.56,381.83,119.16,31.96,15.79,66.25,86.74,2635.96
12,1/18/2019,97.73,156.82,121.11,1696.2,92.61,374.67,116.59,32.2,16.1,66.96,85.59,2670.71
13,1/22/2019,97.49,153.3,119.28,1632.17,92.77,371.01,117.09,30.97,15.69,66.83,83.34,2632.9
14,1/23/2019,98.71,153.92,118.81,1640.02,94.24,365.26,118.79,31.16,15.56,67.8,82.88,2638.7
15,1/24/2019,98.36,152.7,119.78,1654.93,94.64,371.28,114.99,31.01,15.8,68.66,84.03,2642.33
16,1/25/2019,96.94,157.76,121.12,1670.57,93.27,369.44,114.97,31.89,15.9,68.48,84.14,2664.76
17,1/28/2019,97.06,156.3,121.79,1637.89,93.02,377.11,115.03,31.59,15.83,67.62,84.6,2643.85
18,1/29/2019,96.71,154.68,121.38,1593.88,93.08,379.29,115.71,31.78,15.91,67.78,85.67,2640.0
