,Year,Disaster Group,Disaster Subgroup
0,1987,Natural,Meteorological
1,1987,Natural,Meteorological
2,1987,Natural,Meteorological
3,1987,Natural,Meteorological
4,1987,Natural,Meteorological
5,1987,Natural,Geophysical
6,1987,Natural,Geophysical
7,1987,Natural,Meteorological
8,1987,Natural,Meteorological
9,1987,Technological,Technological
10,1987,Technological,Technological
11,1987,Technological,Technological
12,1987,Technological,Technological
13,1987,Technological,Technological
14,1987,Technological,Technological
15,1987,Technological,Technological
16,1987,Technological,Technological
17,1987,Technological,Technological
18,1987,Technological,Technological
19,1987,Natural,Meteorological
20,1987,Natural,Meteorological
21,1988,Natural,Meteorological
22,1988,Technological,Technological
23,1988,Technological,Technological
24,1988,Technological,Technological
25,1988,Technological,Technological
26,1988,Natural,Meteorological
27,1988,Natural,Meteorological
28,1988,Natural,Meteorological
29,1988,Natural,Meteorological
30,1988,Natural,Hydrological
31,1988,Natural,Hydrological
32,1988,Natural,Meteorological
33,1988,Natural,Meteorological
34,1988,Natural,Meteorological
35,1988,Natural,Meteorological
36,1988,Natural,Meteorological
37,1988,Natural,Hydrological
38,1988,Natural,Meteorological
39,1988,Natural,Meteorological
40,1988,Natural,Meteorological
41,1988,Natural,Meteorological
42,1988,Natural,Meteorological
43,1988,Natural,Meteorological
44,1988,Natural,Meteorological
45,1988,Natural,Meteorological
46,1988,Natural,Climatological
47,1989,Natural,Meteorological
48,1989,Natural,Geophysical
49,1989,Natural,Geophysical
50,1989,Natural,Meteorological
51,1989,Natural,Meteorological
52,1989,Natural,Meteorological
53,1989,Natural,Meteorological
54,1989,Natural,Meteorological
55,1989,Technological,Technological
56,1989,Technological,Technological
57,1989,Technological,Technological
58,1989,Technological,Technological
59,1989,Technological,Technological
60,1989,Technological,Technological
61,1989,Technological,Technological
62,1989,Technological,Technological
63,1989,Technological,Technological
64,1989,Technological,Technological
65,1989,Technological,Technological
66,1989,Technological,Technological
67,1989,Technological,Technological
68,1989,Technological,Technological
69,1989,Technological,Technological
70,1989,Technological,Technological
71,1989,Natural,Meteorological
72,1989,Natural,Meteorological
73,1989,Natural,Meteorological
74,1989,Natural,Meteorological
75,1989,Natural,Meteorological
76,1989,Natural,Meteorological
77,1989,Natural,Meteorological
78,1989,Natural,Meteorological
79,1989,Natural,Meteorological
80,1989,Natural,Meteorological
81,1989,Natural,Meteorological
82,1990,Natural,Meteorological
83,1990,Natural,Meteorological
84,1990,Natural,Meteorological
85,1990,Natural,Meteorological
86,1990,Natural,Meteorological
87,1990,Natural,Meteorological
88,1990,Natural,Meteorological
89,1990,Natural,Meteorological
90,1990,Natural,Meteorological
91,1990,Natural,Hydrological
92,1990,Natural,Meteorological
93,1990,Natural,Meteorological
94,1990,Natural,Meteorological
95,1990,Natural,Meteorological
96,1990,Natural,Meteorological
97,1990,Natural,Geophysical
98,1990,Natural,Geophysical
99,1990,Natural,Hydrological
100,1990,Natural,Hydrological
101,1990,Natural,Meteorological
102,1990,Natural,Meteorological
103,1990,Natural,Biological
104,1990,Technological,Technological
105,1990,Technological,Technological
106,1990,Technological,Technological
107,1990,Technological,Technological
108,1990,Technological,Technological
109,1990,Technological,Technological
110,1990,Technological,Technological
111,1990,Technological,Technological
112,1990,Natural,Hydrological
113,1990,Natural,Meteorological
114,1991,Natural,Meteorological
115,1991,Natural,Meteorological
116,1991,Natural,Meteorological
117,1991,Natural,Meteorological
118,1991,Natural,Meteorological
119,1991,Natural,Meteorological
120,1991,Natural,Meteorological
121,1991,Natural,Meteorological
122,1991,Natural,Meteorological
123,1991,Natural,Meteorological
124,1991,Natural,Meteorological
125,1991,Natural,Meteorological
126,1991,Natural,Meteorological
127,1991,Natural,Geophysical
128,1991,Natural,Hydrological
129,1991,Natural,Hydrological
130,1991,Natural,Hydrological
131,1991,Natural,Hydrological
132,1991,Natural,Hydrological
133,1991,Natural,Hydrological
134,1991,Natural,Hydrological
135,1991,Natural,Hydrological
136,1991,Natural,Hydrological
137,1991,Natural,Hydrological
138,1991,Natural,Hydrological
139,1991,Natural,Hydrological
140,1991,Natural,Meteorological
141,1991,Natural,Meteorological
142,1991,Natural,Meteorological
143,1991,Natural,Climatological
144,1991,Natural,Climatological
145,1991,Technological,Technological
146,1991,Technological,Technological
147,1991,Technological,Technological
148,1991,Technological,Technological
149,1991,Technological,Technological
150,1991,Technological,Technological
151,1991,Technological,Technological
152,1991,Technological,Technological
153,1991,Technological,Technological
154,1991,Technological,Technological
155,1991,Natural,Climatological
156,1991,Natural,Climatological
157,1991,Natural,Meteorological
158,1991,Natural,Hydrological
159,1991,Natural,Hydrological
160,1992,Natural,Meteorological
161,1992,Natural,Meteorological
162,1992,Natural,Meteorological
163,1992,Natural,Meteorological
164,1992,Natural,Meteorological
165,1992,Natural,Meteorological
166,1992,Natural,Meteorological
167,1992,Natural,Meteorological
168,1992,Natural,Meteorological
169,1992,Natural,Meteorological
170,1992,Natural,Meteorological
171,1992,Natural,Meteorological
172,1992,Natural,Meteorological
173,1992,Natural,Meteorological
174,1992,Natural,Meteorological
175,1992,Natural,Meteorological
176,1992,Natural,Meteorological
177,1992,Natural,Meteorological
178,1992,Natural,Meteorological
179,1992,Natural,Meteorological
180,1992,Natural,Meteorological
181,1992,Natural,Geophysical
182,1992,Natural,Geophysical
183,1992,Natural,Geophysical
184,1992,Natural,Meteorological
185,1992,Natural,Meteorological
186,1992,Natural,Climatological
187,1992,Natural,Climatological
188,1992,Technological,Technological
189,1992,Technological,Technological
190,1992,Technological,Technological
191,1992,Natural,Meteorological
192,1992,Natural,Meteorological
193,1992,Natural,Meteorological
194,1992,Natural,Meteorological
195,1993,Natural,Meteorological
196,1993,Natural,Meteorological
197,1993,Natural,Meteorological
198,1993,Natural,Meteorological
199,1993,Natural,Meteorological
200,1993,Natural,Meteorological
201,1993,Natural,Meteorological
202,1993,Natural,Meteorological
203,1993,Natural,Meteorological
204,1993,Natural,Meteorological
205,1993,Natural,Meteorological
206,1993,Natural,Meteorological
207,1993,Natural,Geophysical
208,1993,Natural,Hydrological
209,1993,Natural,Hydrological
210,1993,Natural,Hydrological
211,1993,Natural,Hydrological
212,1993,Natural,Meteorological
213,1993,Natural,Meteorological
214,1993,Natural,Meteorological
215,1993,Natural,Meteorological
216,1993,Natural,Climatological
217,1993,Natural,Biological
218,1993,Technological,Technological
219,1993,Technological,Technological
220,1993,Technological,Technological
221,1993,Technological,Technological
222,1993,Technological,Technological
223,1993,Technological,Technological
224,1993,Technological,Technological
225,1993,Natural,Hydrological
226,1993,Natural,Meteorological
227,1993,Natural,Hydrological
228,1993,Natural,Meteorological
229,1993,Natural,Meteorological
230,1993,Natural,Meteorological
231,1993,Natural,Meteorological
232,1994,Natural,Geophysical
233,1994,Natural,Meteorological
234,1994,Natural,Meteorological
235,1994,Natural,Hydrological
236,1994,Natural,Meteorological
237,1994,Natural,Hydrological
238,1994,Natural,Meteorological
239,1994,Natural,Meteorological
240,1994,Natural,Meteorological
241,1994,Natural,Geophysical
242,1994,Natural,Meteorological
243,1994,Natural,Climatological
244,1994,Natural,Climatological
245,1994,Natural,Climatological
246,1994,Technological,Technological
247,1994,Technological,Technological
248,1994,Technological,Technological
249,1994,Technological,Technological
250,1994,Technological,Technological
251,1994,Technological,Technological
252,1994,Technological,Technological
253,1994,Technological,Technological
254,1994,Technological,Technological
255,1994,Technological,Technological
256,1994,Technological,Technological
257,1994,Technological,Technological
258,1994,Technological,Technological
259,1994,Natural,Meteorological
260,1994,Natural,Meteorological
261,1995,Natural,Meteorological
262,1995,Natural,Meteorological
263,1995,Natural,Meteorological
264,1995,Natural,Meteorological
265,1995,Natural,Meteorological
266,1995,Natural,Meteorological
267,1995,Natural,Meteorological
268,1995,Natural,Hydrological
269,1995,Natural,Hydrological
270,1995,Natural,Hydrological
271,1995,Natural,Hydrological
272,1995,Natural,Meteorological
273,1995,Natural,Meteorological
274,1995,Natural,Meteorological
275,1995,Technological,Technological
276,1995,Technological,Technological
277,1995,Technological,Technological
278,1995,Technological,Technological
279,1995,Technological,Technological
280,1995,Technological,Technological
281,1995,Technological,Technological
282,1995,Natural,Hydrological
283,1995,Natural,Meteorological
284,1995,Natural,Hydrological
285,1995,Natural,Meteorological
286,1996,Natural,Hydrological
287,1996,Natural,Meteorological
288,1996,Natural,Meteorological
289,1996,Natural,Meteorological
290,1996,Natural,Meteorological
291,1996,Natural,Meteorological
292,1996,Natural,Meteorological
293,1996,Natural,Meteorological
294,1996,Natural,Meteorological
295,1996,Natural,Hydrological
296,1996,Natural,Hydrological
297,1996,Natural,Hydrological
298,1996,Natural,Climatological
299,1996,Natural,Climatological
300,1996,Technological,Technological
301,1996,Technological,Technological
302,1996,Technological,Technological
303,1996,Technological,Technological
304,1996,Technological,Technological
305,1996,Technological,Technological
306,1996,Technological,Technological
307,1996,Technological,Technological
308,1996,Technological,Technological
309,1996,Technological,Technological
310,1996,Natural,Meteorological
311,1997,Natural,Meteorological
312,1997,Natural,Hydrological
313,1997,Natural,Hydrological
314,1997,Natural,Meteorological
315,1997,Natural,Meteorological
316,1997,Natural,Meteorological
317,1997,Natural,Meteorological
318,1997,Natural,Meteorological
319,1997,Natural,Meteorological
320,1997,Natural,Meteorological
321,1997,Natural,Meteorological
322,1997,Natural,Meteorological
323,1997,Natural,Meteorological
324,1997,Natural,Meteorological
325,1997,Natural,Meteorological
326,1997,Natural,Meteorological
327,1997,Natural,Meteorological
328,1997,Natural,Meteorological
329,1997,Natural,Hydrological
330,1997,Natural,Hydrological
331,1997,Natural,Hydrological
332,1997,Natural,Hydrological
333,1997,Natural,Meteorological
334,1997,Natural,Climatological
335,1997,Natural,Climatological
336,1997,Technological,Technological
337,1997,Technological,Technological
338,1997,Technological,Technological
339,1997,Technological,Technological
340,1997,Technological,Technological
341,1997,Technological,Technological
342,1997,Natural,Hydrological
343,1997,Natural,Hydrological
344,1997,Natural,Meteorological
345,1997,Natural,Meteorological
346,1997,Natural,Meteorological
347,1997,Natural,Meteorological
348,1997,Natural,Meteorological
349,1997,Natural,Meteorological
350,1998,Natural,Meteorological
351,1998,Natural,Meteorological
352,1998,Natural,Meteorological
353,1998,Natural,Meteorological
354,1998,Natural,Meteorological
355,1998,Natural,Meteorological
356,1998,Natural,Hydrological
357,1998,Natural,Meteorological
358,1998,Natural,Meteorological
359,1998,Natural,Meteorological
360,1998,Natural,Meteorological
361,1998,Natural,Meteorological
362,1998,Natural,Meteorological
363,1998,Natural,Meteorological
364,1998,Natural,Hydrological
365,1998,Natural,Hydrological
366,1998,Natural,Hydrological
367,1998,Natural,Climatological
368,1998,Natural,Climatological
369,1998,Natural,Climatological
370,1998,Natural,Climatological
371,1998,Technological,Technological
372,1998,Technological,Technological
373,1998,Technological,Technological
374,1998,Technological,Technological
375,1998,Technological,Technological
376,1998,Technological,Technological
377,1998,Technological,Technological
378,1998,Technological,Technological
379,1998,Natural,Hydrological
380,1998,Natural,Meteorological
381,1998,Natural,Meteorological
382,1998,Natural,Meteorological
383,1998,Natural,Meteorological
384,1998,Natural,Meteorological
385,1998,Natural,Meteorological
386,1998,Natural,Hydrological
387,1998,Natural,Hydrological
388,1998,Natural,Meteorological
389,1998,Natural,Meteorological
390,1998,Technological,Technological
391,1999,Natural,Meteorological
392,1999,Natural,Meteorological
393,1999,Natural,Meteorological
394,1999,Natural,Meteorological
395,1999,Natural,Meteorological
396,1999,Natural,Meteorological
397,1999,Natural,Meteorological
398,1999,Natural,Meteorological
399,1999,Natural,Meteorological
400,1999,Natural,Meteorological
401,1999,Natural,Meteorological
402,1999,Natural,Meteorological
403,1999,Natural,Meteorological
404,1999,Natural,Meteorological
405,1999,Natural,Meteorological
406,1999,Natural,Meteorological
407,1999,Natural,Climatological
408,1999,Natural,Climatological
409,1999,Natural,Climatological
410,1999,Technological,Technological
411,1999,Technological,Technological
412,1999,Technological,Technological
413,1999,Technological,Technological
414,1999,Technological,Technological
415,1999,Technological,Technological
416,1999,Technological,Technological
417,1999,Technological,Technological
418,1999,Technological,Technological
419,1999,Technological,Technological
420,1999,Technological,Technological
421,1999,Technological,Technological
422,1999,Natural,Climatological
423,1999,Natural,Meteorological
424,1999,Natural,Hydrological
425,2000,Natural,Hydrological
426,2000,Natural,Hydrological
427,2000,Natural,Meteorological
428,2000,Natural,Climatological
429,2000,Natural,Meteorological
430,2000,Natural,Meteorological
431,2000,Natural,Meteorological
432,2000,Natural,Meteorological
433,2000,Natural,Meteorological
434,2000,Natural,Meteorological
435,2000,Natural,Meteorological
436,2000,Natural,Meteorological
437,2000,Natural,Meteorological
438,2000,Natural,Geophysical
439,2000,Natural,Hydrological
440,2000,Natural,Hydrological
441,2000,Natural,Hydrological
442,2000,Natural,Meteorological
443,2000,Natural,Meteorological
444,2000,Natural,Meteorological
445,2000,Natural,Climatological
446,2000,Natural,Climatological
447,2000,Natural,Climatological
448,2000,Natural,Climatological
449,2000,Natural,Climatological
450,2000,Natural,Climatological
451,2000,Natural,Climatological
452,2000,Technological,Technological
453,2000,Technological,Technological
454,2000,Technological,Technological
455,2000,Technological,Technological
456,2000,Technological,Technological
457,2000,Technological,Technological
458,2000,Natural,Climatological
459,2000,Technological,Technological
460,2000,Natural,Hydrological
461,2000,Natural,Hydrological
462,2000,Natural,Hydrological
463,2001,Technological,Technological
464,2001,Technological,Technological
465,2001,Natural,Meteorological
466,2001,Natural,Hydrological
467,2001,Natural,Meteorological
468,2001,Natural,Meteorological
469,2001,Natural,Meteorological
470,2001,Natural,Meteorological
471,2001,Natural,Meteorological
472,2001,Natural,Meteorological
473,2001,Natural,Meteorological
474,2001,Natural,Meteorological
475,2001,Natural,Meteorological
476,2001,Natural,Meteorological
477,2001,Natural,Meteorological
478,2001,Natural,Meteorological
