Date,Open,Close,Volume,Ticker,Sector
1/2/2018,17.110001,17.379999,8107000,MRO,Energy
1/3/2018,17.450001,17.67,10684700,MRO,Energy
1/4/2018,17.9,18.120001,14052100,MRO,Energy
1/5/2018,17.959999,17.889999,11962200,MRO,Energy
1/8/2018,17.870001,17.969999,7096800,MRO,Energy
1/9/2018,18.01,18.049999,12120500,MRO,Energy
1/10/2018,18.09,17.9,7921900,MRO,Energy
1/11/2018,18,18.6,13189700,MRO,Energy
1/12/2018,18.68,18.82,10312200,MRO,Energy
1/16/2018,18.889999,18.24,13872500,MRO,Energy
1/17/2018,18.35,18.84,19818200,MRO,Energy
1/18/2018,18.76,18.690001,10145100,MRO,Energy
1/19/2018,18.540001,18.58,7614700,MRO,Energy
1/22/2018,18.65,19.280001,13343200,MRO,Energy
1/23/2018,19.34,19.219999,11965000,MRO,Energy
1/24/2018,19.34,19.280001,11367200,MRO,Energy
1/25/2018,19.440001,18.68,9251600,MRO,Energy
1/26/2018,18.65,18.84,8947400,MRO,Energy
1/29/2018,18.629999,18.620001,7613600,MRO,Energy
1/30/2018,18.450001,18.059999,12467500,MRO,Energy
1/31/2018,18.059999,18.190001,9760300,MRO,Energy
2/1/2018,18.25,18.43,9494400,MRO,Energy
2/2/2018,18.139999,17.52,10885100,MRO,Energy
2/5/2018,16.700001,16.780001,15320100,MRO,Energy
2/6/2018,16.309999,17.23,16059000,MRO,Energy
2/7/2018,17.16,16.33,17435500,MRO,Energy
2/8/2018,16.379999,15.68,15091100,MRO,Energy
2/9/2018,15.77,15.51,17712200,MRO,Energy
2/12/2018,15.76,16.27,15792400,MRO,Energy
2/13/2018,16.1,16.07,8344400,MRO,Energy
2/14/2018,15.81,16.950001,14150100,MRO,Energy
2/15/2018,16.950001,16.32,28950200,MRO,Energy
2/16/2018,16.219999,15.65,17798000,MRO,Energy
2/20/2018,15.63,15.85,22272600,MRO,Energy
2/21/2018,15.8,15.3,16923700,MRO,Energy
2/22/2018,15.41,15.18,18251600,MRO,Energy
2/23/2018,15.29,15.54,13865000,MRO,Energy
2/26/2018,15.57,15.34,13662200,MRO,Energy
2/27/2018,15.3,15,12587900,MRO,Energy
2/28/2018,15.07,14.52,15725400,MRO,Energy
3/1/2018,14.55,14.53,13600300,MRO,Energy
3/2/2018,14.46,14.86,11468700,MRO,Energy
3/5/2018,14.82,15.15,12024000,MRO,Energy
3/6/2018,15.26,15.03,9045200,MRO,Energy
3/7/2018,14.84,14.8,8609600,MRO,Energy
3/8/2018,14.86,14.83,10863100,MRO,Energy
3/9/2018,14.92,15.22,8747200,MRO,Energy
3/12/2018,15.13,15.09,10335600,MRO,Energy
3/13/2018,15.22,14.82,15732200,MRO,Energy
3/14/2018,14.95,14.87,12526400,MRO,Energy
3/15/2018,14.93,14.91,10798000,MRO,Energy
3/16/2018,14.97,15.12,19356800,MRO,Energy
3/19/2018,15.05,14.85,9637700,MRO,Energy
3/20/2018,14.98,15.26,12136800,MRO,Energy
3/21/2018,15.38,16.32,16591100,MRO,Energy
3/22/2018,16.08,15.84,11604400,MRO,Energy
3/23/2018,15.88,15.76,11890900,MRO,Energy
3/26/2018,16.030001,16.27,13256200,MRO,Energy
3/27/2018,16.389999,15.82,10584900,MRO,Energy
3/28/2018,15.83,15.32,11221600,MRO,Energy
3/29/2018,15.48,16.129999,11153800,MRO,Energy
1/2/2019,13.9,14.72,10497100,MRO,Energy
1/3/2019,14.74,14.62,10915100,MRO,Energy
1/4/2019,14.97,15.41,14563500,MRO,Energy
1/7/2019,15.54,15.62,10186700,MRO,Energy
1/8/2019,15.88,15.48,12484700,MRO,Energy
1/9/2019,15.74,16.07,12816600,MRO,Energy
