Year,SP500,Consumer Price Index
1987,286.84,113.62
1988,265.78,118.26
1989,322.83,123.97
1990,334.59,130.66
1991,376.18,136.19
1992,415.74,140.32
1993,451.41,144.46
1994,460.33,148.23
1995,541.64,152.38
1996,670.83,156.85
1997,872.67,160.52
1998,1084.31,163.01
1999,1326.06,166.58
2000,1427.01,172.2
2001,1192.08,177.07
2002,995.63,179.88
2003,963.69,183.96
2004,1130.55,188.88
2005,1207.06,195.29
2006,1310.67,201.59
2007,1476.63,207.34
2008,1220.89,215.3
2009,946.74,214.54
2010,1139.31,218.06
2011,1268.89,224.94
2012,1379.56,229.59
2013,1642.51,232.96
2014,1930.67,236.74
2015,2061.2,237.02
2016,2091.84,240.01
2017,2448.22,245.12
